id,text,entities,relations
5230,We named these malicious apps AnubisSpy (ANDROIDOS_ANUBISSPY) as all the malware’s payload is a package called watchdog.,"[{'end_offset': 119, 'id': 51263, 'label': 'malware', 'start_offset': 111}, {'end_offset': 60, 'id': 51262, 'label': 'malware', 'start_offset': 41}, {'end_offset': 39, 'id': 16073, 'label': 'malware', 'start_offset': 30}]","[{'from_id': 51262, 'id': 1072, 'to_id': 16073, 'type': 'duplicate-of'}]"
3788,"At the time, we found ChessMaster targeting different sectors from the academe to media and government agencies in Japan.","[{'end_offset': 33, 'id': 49628, 'label': 'campaign', 'start_offset': 22}, {'end_offset': 111, 'id': 49629, 'label': 'identity', 'start_offset': 71}, {'end_offset': 120, 'id': 49630, 'label': 'location', 'start_offset': 115}]","[{'from_id': 49628, 'id': 851, 'to_id': 49629, 'type': 'targets'}, {'from_id': 49629, 'id': 852, 'to_id': 49630, 'type': 'located-at'}]"
3833,Base64 encoded ANEL downloaded by Koadic ANEL will send the infected environment’s information to the C&C server.,"[{'end_offset': 19, 'id': 49689, 'label': 'malware', 'start_offset': 15}, {'end_offset': 40, 'id': 49690, 'label': 'malware', 'start_offset': 34}, {'end_offset': 45, 'id': 49691, 'label': 'malware', 'start_offset': 41}, {'end_offset': 112, 'id': 49692, 'label': 'Infrastucture', 'start_offset': 102}]","[{'from_id': 49690, 'id': 860, 'to_id': 49689, 'type': 'downloads'}, {'from_id': 49691, 'id': 861, 'to_id': 49692, 'type': 'exfiltrates-to'}]"
4830,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'end_offset': 78, 'id': 50783, 'label': 'identity', 'start_offset': 71}, {'end_offset': 219, 'id': 50785, 'label': 'SOFTWARE', 'start_offset': 204}, {'end_offset': 270, 'id': 50786, 'label': 'tools', 'start_offset': 257}, {'end_offset': 175, 'id': 50784, 'label': 'identity', 'start_offset': 136}, {'end_offset': 27, 'id': 14710, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 90, 'id': 14713, 'label': 'threat-actor', 'start_offset': 82}]","[{'from_id': 14713, 'id': 1015, 'to_id': 14710, 'type': 'duplicate-of'}, {'from_id': 14710, 'id': 1016, 'to_id': 50784, 'type': 'targets'}, {'from_id': 14710, 'id': 1017, 'to_id': 50785, 'type': 'uses'}, {'from_id': 14710, 'id': 1018, 'to_id': 50786, 'type': 'uses'}]"
4626,"As part of TAG's mission to counter serious threats to Google and our users, we've analyzed a range of persistent threats including APT35 and Charming Kitten, an Iranian government-backed group that regularly targets high risk users.","[{'end_offset': 61, 'id': 50537, 'label': 'identity', 'start_offset': 55}, {'end_offset': 137, 'id': 50538, 'label': 'threat-actor', 'start_offset': 132}, {'end_offset': 157, 'id': 50539, 'label': 'threat-actor', 'start_offset': 142}, {'end_offset': 169, 'id': 50540, 'label': 'location', 'start_offset': 162}, {'end_offset': 14, 'id': 50536, 'label': 'identity', 'start_offset': 11}]","[{'from_id': 50538, 'id': 980, 'to_id': 50540, 'type': 'located-at'}, {'from_id': 50539, 'id': 981, 'to_id': 50540, 'type': 'located-at'}]"
3392,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  36e3fcd6a4c7c9db985be77ea6394b2ed019332fdae4739df2f96a541ea52617  Silverlight.exe,"[{'end_offset': 11, 'id': 10242, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10243, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49045, 'label': 'malware', 'start_offset': 20}, {'end_offset': 127, 'id': 49046, 'label': 'FILEPATH', 'start_offset': 112}]","[{'from_id': 10242, 'id': 596, 'to_id': 49045, 'type': 'duplicate-of'}, {'from_id': 49046, 'id': 597, 'to_id': 10243, 'type': 'duplicate-of'}, {'from_id': 49046, 'id': 598, 'to_id': 49045, 'type': 'indicates'}, {'from_id': 10243, 'id': 599, 'to_id': 49045, 'type': 'indicates'}]"
4497,"The actors behind this campaign, which we attributed to a government-backed entity based in North Korea, have employed a number of means to target researchers.","[{'end_offset': 31, 'id': 50299, 'label': 'campaign', 'start_offset': 23}, {'end_offset': 103, 'id': 50300, 'label': 'location', 'start_offset': 92}]","[{'from_id': 50299, 'id': 942, 'to_id': 50300, 'type': 'attributed-to'}]"
3748," CVE-2022-22954, a remote code execution (RCE) vulnerability due to server-side template injection in VMware Workspace ONE Access and Identity Manager, is trivial to exploit with a single HTTP request to a vulnerable device.","[{'end_offset': 46, 'id': 49573, 'label': 'attack-pattern', 'start_offset': 19}, {'end_offset': 98, 'id': 49574, 'label': 'attack-pattern', 'start_offset': 68}, {'end_offset': 15, 'id': 49572, 'label': 'vulnerability', 'start_offset': 1}, {'end_offset': 150, 'id': 49575, 'label': 'SOFTWARE', 'start_offset': 102}]","[{'from_id': 49575, 'id': 830, 'to_id': 49572, 'type': 'has'}, {'from_id': 49572, 'id': 831, 'to_id': 49573, 'type': 'uses'}, {'from_id': 49572, 'id': 832, 'to_id': 49574, 'type': 'uses'}]"
3661,"MITRE also identifies different main targets for each group: While Carbanak focuses on banking institutions, FIN7 targets food, hospitality, and retail establishments.","[{'end_offset': 75, 'id': 49437, 'label': 'threat-actor', 'start_offset': 67}, {'end_offset': 113, 'id': 49438, 'label': 'threat-actor', 'start_offset': 109}, {'end_offset': 5, 'id': 49436, 'label': 'identity', 'start_offset': 0}, {'end_offset': 107, 'id': 49439, 'label': 'identity', 'start_offset': 87}, {'end_offset': 166, 'id': 49440, 'label': 'identity', 'start_offset': 122}]","[{'from_id': 49437, 'id': 795, 'to_id': 49439, 'type': 'targets'}, {'from_id': 49438, 'id': 796, 'to_id': 49440, 'type': 'targets'}]"
3173,"What makes BIOPASS RAT particularly interesting is that it can sniff its victim’s screen by abusing the framework of Open Broadcaster Software (OBS) Studio, a popular live streaming and video recording app, to establish live streaming to a cloud service via Real-Time Messaging Protocol (RTMP).","[{'end_offset': 22, 'id': 48296, 'label': 'malware', 'start_offset': 11}, {'end_offset': 293, 'id': 48298, 'label': 'SOFTWARE', 'start_offset': 258}, {'end_offset': 148, 'id': 48297, 'label': 'SOFTWARE', 'start_offset': 117}]","[{'from_id': 48296, 'id': 400, 'to_id': 48297, 'type': 'targets'}]"
1569," Bad Rabbit is a ransomware attack that, at the time of this writing, appears to primarily be affecting countries in Eastern Europe.","[{'end_offset': 11, 'id': 45059, 'label': 'malware', 'start_offset': 1}, {'end_offset': 131, 'id': 45060, 'label': 'location', 'start_offset': 117}]","[{'from_id': 45059, 'id': 75, 'to_id': 45060, 'type': 'targets'}]"
3384,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  3195c355aa564ea66b4b37baa9547cb53dde7cf4ae7010256db92fff0bde873d  flash.exe,"[{'end_offset': 11, 'id': 10232, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10233, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49035, 'label': 'malware', 'start_offset': 20}, {'end_offset': 121, 'id': 49036, 'label': 'FILEPATH', 'start_offset': 112}]","[{'from_id': 10232, 'id': 582, 'to_id': 49035, 'type': 'duplicate-of'}, {'from_id': 49036, 'id': 583, 'to_id': 10233, 'type': 'duplicate-of'}, {'from_id': 49036, 'id': 584, 'to_id': 49035, 'type': 'indicates'}, {'from_id': 10233, 'id': 585, 'to_id': 49035, 'type': 'indicates'}]"
2027,"While the obfuscation and execution may differ between the two, both samples contain very similar core functionality, due to the author copying the leaked Babuk/Babyk source code in order to develop the HelloXD ransomware (Figure 7).","[{'end_offset': 210, 'id': 47122, 'label': 'malware', 'start_offset': 203}, {'end_offset': 166, 'id': 47121, 'label': 'malware', 'start_offset': 161}, {'end_offset': 160, 'id': 47120, 'label': 'malware', 'start_offset': 155}]","[{'from_id': 47121, 'id': 303, 'to_id': 47122, 'type': 'variant-of'}, {'from_id': 47120, 'id': 304, 'to_id': 47122, 'type': 'variant-of'}]"
13472,"We continue to see attacks from groups like Charming Kitten on medical and healthcare professionals, including World Health Organization (WHO) employees.","[{'end_offset': 59, 'id': 51544, 'label': 'threat-actor', 'start_offset': 44}, {'end_offset': 142, 'id': 51545, 'label': 'identity', 'start_offset': 111}]","[{'from_id': 51544, 'id': 1101, 'to_id': 51545, 'type': 'targets'}]"
3436,"This post is also available in:      日本語 (Japanese)  On May 4, 2022, F5 released a security advisory for a remote code execution vulnerability in the iControlREST component of its BIG-IP product tracked in CVE-2022-1388.","[{'end_offset': 219, 'id': 49195, 'label': 'vulnerability', 'start_offset': 206}, {'end_offset': 142, 'id': 49196, 'label': 'vulnerability', 'start_offset': 107}, {'end_offset': 67, 'id': 49193, 'label': 'TIME', 'start_offset': 53}, {'end_offset': 71, 'id': 49194, 'label': 'identity', 'start_offset': 69}, {'end_offset': 162, 'id': 49197, 'label': 'tools', 'start_offset': 150}]","[{'from_id': 49196, 'id': 750, 'to_id': 49195, 'type': 'duplicate-of'}, {'from_id': 49197, 'id': 751, 'to_id': 49195, 'type': 'has'}]"
2597,"This initial focus has led to speculation that Lapsus$ Group may be Brazilian, although we understand the choice of targets to have been influenced by extended team members rather than the team leadership.","[{'end_offset': 54, 'id': 47788, 'label': 'threat-actor', 'start_offset': 47}, {'end_offset': 77, 'id': 47789, 'label': 'location', 'start_offset': 68}]","[{'from_id': 47788, 'id': 356, 'to_id': 47789, 'type': 'located-at'}]"
4585,"In March 2021, Microsoft kicked off the patch cycle early after releasing an advisory regarding the mass exploitation of four zero-days vulnerabilities by a Chinese Hacking group, HAFNIUM, on the on-premises versions of the Microsoft Exchange Server.","[{'end_offset': 13, 'id': 50436, 'label': 'TIME', 'start_offset': 3}, {'end_offset': 24, 'id': 50437, 'label': 'identity', 'start_offset': 15}, {'end_offset': 151, 'id': 50438, 'label': 'vulnerability', 'start_offset': 126}, {'end_offset': 187, 'id': 50439, 'label': 'threat-actor', 'start_offset': 180}, {'end_offset': 164, 'id': 50440, 'label': 'location', 'start_offset': 157}, {'end_offset': 249, 'id': 50441, 'label': 'SOFTWARE', 'start_offset': 196}]","[{'from_id': 50439, 'id': 971, 'to_id': 50440, 'type': 'located-at'}, {'from_id': 50439, 'id': 972, 'to_id': 50438, 'type': 'exploits'}, {'from_id': 50441, 'id': 973, 'to_id': 50438, 'type': 'has'}]"
1712,In this case a legitimate service (Tor) was being abused by CryptoWall so it could avoid having its C2 servers shut down.,"[{'end_offset': 70, 'id': 5086, 'label': 'malware', 'start_offset': 60}, {'end_offset': 38, 'id': 5085, 'label': 'tools', 'start_offset': 35}]","[{'from_id': 5086, 'id': 249, 'to_id': 5085, 'type': 'uses'}]"
5060,"Recently observed COLDRIVER credential phishing domains: Ghostwriter, a Belarusian threat actor, recently introduced a new capability into their credential phishing campaigns.","[{'end_offset': 82, 'id': 51165, 'label': 'location', 'start_offset': 72}, {'end_offset': 174, 'id': 51166, 'label': 'campaign', 'start_offset': 145}, {'end_offset': 27, 'id': 15621, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 68, 'id': 15623, 'label': 'threat-actor', 'start_offset': 57}]","[{'from_id': 15623, 'id': 1064, 'to_id': 51165, 'type': 'located-at'}, {'from_id': 15623, 'id': 1065, 'to_id': 51166, 'type': 'uses'}]"
4823,"Ghostwriter/UNC1151, a threat actor attributed to Belarus, has remained active targeting accounts of webmail and social media networks of Polish users.","[{'end_offset': 11, 'id': 50766, 'label': 'threat-actor', 'start_offset': 0}, {'end_offset': 19, 'id': 50767, 'label': 'threat-actor', 'start_offset': 12}, {'end_offset': 57, 'id': 50768, 'label': 'location', 'start_offset': 50}]","[{'from_id': 50767, 'id': 1011, 'to_id': 50766, 'type': 'duplicate-of'}, {'from_id': 50766, 'id': 1012, 'to_id': 50768, 'type': 'attributed-to'}]"
1819,Additional tools and components were copied to the compromised machine using AnyDeskMSI to scan the local network and disable security products.,"[{'end_offset': 87, 'id': 46934, 'label': 'tools', 'start_offset': 77}, {'end_offset': 113, 'id': 46936, 'label': 'attack-pattern', 'start_offset': 91}, {'end_offset': 143, 'id': 46937, 'label': 'attack-pattern', 'start_offset': 118}]","[{'from_id': 46934, 'id': 265, 'to_id': 46936, 'type': 'uses'}, {'from_id': 46934, 'id': 266, 'to_id': 46937, 'type': 'uses'}]"
3400,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  7f4e02a041ca7cfbdc79b96a890822fd7c37be67b1f6c9e07596e6aec57ccdc0  Silverlight.exe,"[{'end_offset': 11, 'id': 10263, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10264, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49064, 'label': 'malware', 'start_offset': 20}, {'end_offset': 127, 'id': 49065, 'label': 'FILEPATH', 'start_offset': 112}]","[{'from_id': 10263, 'id': 636, 'to_id': 49064, 'type': 'duplicate-of'}, {'from_id': 49065, 'id': 637, 'to_id': 10264, 'type': 'duplicate-of'}, {'from_id': 10264, 'id': 638, 'to_id': 49064, 'type': 'indicates'}, {'from_id': 49065, 'id': 639, 'to_id': 49064, 'type': 'indicates'}]"
3719,"In both Carbanak and FIN7 attacks, communication with users’ compromised systems is done through bypassing firewalls or network detection systems via commonly used ports, using connection proxies to avoid direct connections to the threat group’s infrastructure, employing the command-and-control channel to remotely copy files from an external system, blending in with existing network traffic by using standard application layer protocol, and taking advantage of standard cryptographic protocol to disguise command-and-control traffic.","[{'end_offset': 16, 'id': 49518, 'label': 'threat-actor', 'start_offset': 8}, {'end_offset': 25, 'id': 49519, 'label': 'threat-actor', 'start_offset': 21}, {'end_offset': 116, 'id': 49520, 'label': 'attack-pattern', 'start_offset': 97}, {'end_offset': 195, 'id': 49521, 'label': 'attack-pattern', 'start_offset': 171}, {'end_offset': 393, 'id': 49522, 'label': 'attack-pattern', 'start_offset': 352}]","[{'from_id': 49518, 'id': 817, 'to_id': 49519, 'type': 'related-to'}, {'from_id': 49519, 'id': 818, 'to_id': 49520, 'type': 'uses'}, {'from_id': 49519, 'id': 819, 'to_id': 49521, 'type': 'uses'}, {'from_id': 49519, 'id': 820, 'to_id': 49522, 'type': 'uses'}]"
1708, Last year we highlighted two malware families on this blog: CryptoWall 2.0 and Dyreza/Dyre.,"[{'end_offset': 75, 'id': 46883, 'label': 'malware', 'start_offset': 61}, {'end_offset': 86, 'id': 46884, 'label': 'malware', 'start_offset': 80}, {'end_offset': 91, 'id': 46885, 'label': 'malware', 'start_offset': 87}]","[{'from_id': 46884, 'id': 247, 'to_id': 46885, 'type': 'duplicate-of'}]"
4587," The vulnerability has been dubbed as ProxyLogon by the researchers at DEVCORE, who are credited with finding the bugs in the proxy architecture and the logon mechanism of Exchange.","[{'end_offset': 180, 'id': 50446, 'label': 'SOFTWARE', 'start_offset': 172}, {'end_offset': 48, 'id': 50444, 'label': 'vulnerability', 'start_offset': 38}, {'end_offset': 78, 'id': 50445, 'label': 'identity', 'start_offset': 71}]","[{'from_id': 50446, 'id': 974, 'to_id': 50444, 'type': 'has'}]"
106,"Similarly, DarkSide operators used Mega client for exfiltrating files to cloud storage, 7-Zip for archiving, and PuTTY application for network file transfers.","[{'end_offset': 29, 'id': 45834, 'label': 'threat-actor', 'start_offset': 11}, {'end_offset': 46, 'id': 45835, 'label': 'tools', 'start_offset': 35}, {'end_offset': 93, 'id': 45836, 'label': 'tools', 'start_offset': 88}, {'end_offset': 118, 'id': 45837, 'label': 'tools', 'start_offset': 113}]","[{'from_id': 45834, 'id': 120, 'to_id': 45835, 'type': 'uses'}, {'from_id': 45834, 'id': 121, 'to_id': 45836, 'type': 'uses'}, {'from_id': 45834, 'id': 122, 'to_id': 45837, 'type': 'uses'}]"
3410,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  ba44c22a3224c3a201202b69d86df2a78f0cd1d4ac1119eb29cae33f09027a9a  Silverlight2.exe,"[{'end_offset': 11, 'id': 10289, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10290, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49090, 'label': 'malware', 'start_offset': 20}, {'end_offset': 128, 'id': 49091, 'label': 'FILEPATH', 'start_offset': 112}]","[{'from_id': 10289, 'id': 681, 'to_id': 49090, 'type': 'duplicate-of'}, {'from_id': 49091, 'id': 682, 'to_id': 10290, 'type': 'duplicate-of'}, {'from_id': 49091, 'id': 683, 'to_id': 49090, 'type': 'indicates'}, {'from_id': 10290, 'id': 684, 'to_id': 49090, 'type': 'indicates'}]"
3390,test4.exe  BIOPASS RAT Loader  Backdoor.Win32.BIOPASS.A  3589e53c59d9807cca709387bbcaaffc7e24e15d9a78425b717fc55c779b928e,"[{'end_offset': 22, 'id': 10240, 'label': 'malware', 'start_offset': 11}, {'end_offset': 121, 'id': 10241, 'label': 'hash', 'start_offset': 57}, {'end_offset': 9, 'id': 49042, 'label': 'FILEPATH', 'start_offset': 0}, {'end_offset': 55, 'id': 49043, 'label': 'malware', 'start_offset': 31}]","[{'from_id': 49042, 'id': 592, 'to_id': 49043, 'type': 'indicates'}, {'from_id': 10241, 'id': 593, 'to_id': 49043, 'type': 'indicates'}, {'from_id': 10240, 'id': 594, 'to_id': 49043, 'type': 'duplicate-of'}, {'from_id': 49042, 'id': 595, 'to_id': 10241, 'type': 'duplicate-of'}]"
4265,"One file stealer (cca74bb322ad7833a21209b1418c9837e30983daec30d199a839f46075ee72f2, Detected as TSPY_DELF.SUW) published by security researchers in 2013 and linked to the domain myflatnet[.]com, was attributed by several parties to the Hangover group.","[{'end_offset': 250, 'id': 50067, 'label': 'threat-actor', 'start_offset': 236}, {'end_offset': 82, 'id': 50063, 'label': 'hash', 'start_offset': 18}, {'end_offset': 109, 'id': 50064, 'label': 'malware', 'start_offset': 96}, {'end_offset': 152, 'id': 50065, 'label': 'TIME', 'start_offset': 148}, {'end_offset': 193, 'id': 50066, 'label': 'url', 'start_offset': 178}]","[{'from_id': 50063, 'id': 911, 'to_id': 50064, 'type': 'indicates'}, {'from_id': 50064, 'id': 912, 'to_id': 50066, 'type': 'communicates-with'}, {'from_id': 50064, 'id': 913, 'to_id': 50067, 'type': 'attributed-to'}]"
2399,"Two days later on March 31, 2022, Spring released version 5.3.18 and 5.2.20 of Spring Framework to patch another more severe vulnerability tracked in CVE-2022-22965.","[{'end_offset': 32, 'id': 47472, 'label': 'TIME', 'start_offset': 18}, {'end_offset': 40, 'id': 47473, 'label': 'SOFTWARE', 'start_offset': 34}, {'end_offset': 95, 'id': 47474, 'label': 'SOFTWARE', 'start_offset': 79}, {'end_offset': 164, 'id': 47475, 'label': 'vulnerability', 'start_offset': 150}]","[{'from_id': 47474, 'id': 333, 'to_id': 47475, 'type': 'has'}]"
14408,Leverage WMI for fileless intrusion Execute Powershell script for fileless intrusion,"[{'end_offset': 84, 'id': 47166, 'label': 'attack-pattern', 'start_offset': 66}, {'end_offset': 54, 'id': 44534, 'label': 'tools', 'start_offset': 44}]","[{'from_id': 44534, 'id': 309, 'to_id': 47166, 'type': 'uses'}]"
564,"After infection, Virlock hides the file extension through modification of the registry (HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\HideFileExt = 1, HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\Hidden = 2).","[{'end_offset': 164, 'id': 1874, 'label': 'REGISTRYKEY', 'start_offset': 88}, {'end_offset': 241, 'id': 1876, 'label': 'REGISTRYKEY', 'start_offset': 170}, {'end_offset': 24, 'id': 44778, 'label': 'malware', 'start_offset': 17}]","[{'from_id': 1874, 'id': 165, 'to_id': 44778, 'type': 'indicates'}, {'from_id': 1876, 'id': 166, 'to_id': 44778, 'type': 'indicates'}]"
2313,"The exploit chain combined an RCE in WebKit exploiting CVE-2021-1789 which was patched on Jan 5, 2021 before discovery of this campaign and a 0-day local privilege escalation in XNU (CVE-2021-30869) patched on Sept 23, 2021.","[{'end_offset': 68, 'id': 45456, 'label': 'vulnerability', 'start_offset': 55}, {'end_offset': 181, 'id': 45462, 'label': 'SOFTWARE', 'start_offset': 178}, {'end_offset': 223, 'id': 45460, 'label': 'TIME', 'start_offset': 210}, {'end_offset': 174, 'id': 45461, 'label': 'attack-pattern', 'start_offset': 148}, {'end_offset': 43, 'id': 45457, 'label': 'SOFTWARE', 'start_offset': 37}, {'end_offset': 101, 'id': 45458, 'label': 'TIME', 'start_offset': 90}, {'end_offset': 197, 'id': 45459, 'label': 'vulnerability', 'start_offset': 183}]","[{'from_id': 45456, 'id': 98, 'to_id': 45457, 'type': 'has'}, {'from_id': 45459, 'id': 99, 'to_id': 45462, 'type': 'has'}]"
